"","name","injury","week","team","year"
"1","['Chris Cooper']","Injured Reserve: Concussion","week_2","Indianapolis Colts",2018
"2","['Robert Jackson']","Injured Reserve: Concussion","week_2","Indianapolis Colts",2018
"3","['Christopher Milton']","Out: Concussion","week_2","Indianapolis Colts",2018
"4","['Chris Cooper']","Injured Reserve: Concussion","week_3","Indianapolis Colts",2018
"5","['Robert Jackson']","Injured Reserve: Concussion","week_3","Indianapolis Colts",2018
"6","['Christopher Milton']","Questionable: Concussion","week_3","Indianapolis Colts",2018
"7","['Quincy Wilson']","Out: Concussion","week_3","Indianapolis Colts",2018
"8","['Chris Cooper']","Injured Reserve: Concussion","week_4","Indianapolis Colts",2018
"9","['Robert Jackson']","Injured Reserve: Concussion","week_4","Indianapolis Colts",2018
"10","['Quincy Wilson']","Out: Concussion","week_4","Indianapolis Colts",2018
"11","['Chris Cooper']","Injured Reserve: Concussion","week_5","Indianapolis Colts",2018
"12","['Robert Jackson']","Injured Reserve: Concussion","week_5","Indianapolis Colts",2018
"13","['Kenny Moore']","Out: Concussion","week_5","Indianapolis Colts",2018
"14","['Quincy Wilson']","Out: Concussion","week_5","Indianapolis Colts",2018
"15","['Chris Cooper']","Injured Reserve: Concussion","week_6","Indianapolis Colts",2018
"16","['Clayton Geathers']","Out: Concussion","week_6","Indianapolis Colts",2018
"17","['Robert Jackson']","Injured Reserve: Concussion","week_6","Indianapolis Colts",2018
"18","['Chris Cooper']","Injured Reserve: Concussion","week_7","Indianapolis Colts",2018
"19","['Clayton Geathers']","Out: Concussion","week_7","Indianapolis Colts",2018
"20","['Robert Jackson']","Injured Reserve: Concussion","week_7","Indianapolis Colts",2018
"21","['Chris Cooper']","Injured Reserve: Concussion","week_8","Indianapolis Colts",2018
"22","['Robert Jackson']","Injured Reserve: Concussion","week_8","Indianapolis Colts",2018
"23","['Chris Cooper']","Injured Reserve: Concussion","week_10","Indianapolis Colts",2018
"24","['Robert Jackson']","Injured Reserve: Concussion","week_10","Indianapolis Colts",2018
"25","['Chris Cooper']","Injured Reserve: Concussion","week_11","Indianapolis Colts",2018
"26","['Robert Jackson']","Injured Reserve: Concussion","week_11","Indianapolis Colts",2018
"27","['Chris Cooper']","Injured Reserve: Concussion","week_12","Indianapolis Colts",2018
"28","['Robert Jackson']","Injured Reserve: Concussion","week_12","Indianapolis Colts",2018
"29","['Chris Cooper']","Injured Reserve: Concussion","week_13","Indianapolis Colts",2018
"30","['Robert Jackson']","Injured Reserve: Concussion","week_13","Indianapolis Colts",2018
"31","['Marlon Mack']","Questionable: Concussion","week_13","Indianapolis Colts",2018
"32","['Chris Cooper']","Injured Reserve: Concussion","week_14","Indianapolis Colts",2018
"33","['Robert Jackson']","Injured Reserve: Concussion","week_14","Indianapolis Colts",2018
"34","['Chris Cooper']","Injured Reserve: Concussion","week_15","Indianapolis Colts",2018
"35","['Robert Jackson']","Injured Reserve: Concussion","week_15","Indianapolis Colts",2018
"36","['Chris Cooper']","Injured Reserve: Concussion","week_16","Indianapolis Colts",2018
"37","['Robert Jackson']","Injured Reserve: Concussion","week_16","Indianapolis Colts",2018
"38","['Chris Cooper']","Injured Reserve: Concussion","week_17","Indianapolis Colts",2018
"39","['Eric Ebron']","Questionable: Concussion","week_17","Indianapolis Colts",2018
"40","['Robert Jackson']","Injured Reserve: Concussion","week_17","Indianapolis Colts",2018
"41","['Chris Cooper']","Injured Reserve: Concussion","week_18","Indianapolis Colts",2018
"42","['Robert Jackson']","Injured Reserve: Concussion","week_18","Indianapolis Colts",2018
"43","['Chris Cooper']","Injured Reserve: Concussion","week_19","Indianapolis Colts",2018
"44","['Robert Jackson']","Injured Reserve: Concussion","week_19","Indianapolis Colts",2018
