name,injury,week,team,year
['Jamal Agnew'],NA,week_1,Detroit Lions,2018
['Ezekiel Ansah'],NA,week_1,Detroit Lions,2018
['Brandon Barnes'],Injured Reserve: Undisclosed,week_1,Detroit Lions,2018
['Trevor Bates'],NA,week_1,Detroit Lions,2018
['Nick Bawden'],Injured Reserve: Knee,week_1,Detroit Lions,2018
['Nick Bellore'],NA,week_1,Detroit Lions,2018
['LeGarrette Blount'],NA,week_1,Detroit Lions,2018
['Marcus Cooper'],NA,week_1,Detroit Lions,2018
['Marcus Cromartie'],Injured Reserve: Knee,week_1,Detroit Lions,2018
['Jarrad Davis'],NA,week_1,Detroit Lions,2018
['Taylor Decker'],NA,week_1,Detroit Lions,2018
['Quandre Diggs'],NA,week_1,Detroit Lions,2018
['Andrew Donnal'],Out: Knee,week_1,Detroit Lions,2018
['Bruce Ellington'],NA,week_1,Detroit Lions,2018
['Kenny Golladay'],NA,week_1,Detroit Lions,2018
"[""Da'Shawn Hand""]",NA,week_1,Detroit Lions,2018
['Eli Harold'],NA,week_1,Detroit Lions,2018
['Damon Harrison'],NA,week_1,Detroit Lions,2018
['Kerry Hyder'],NA,week_1,Detroit Lions,2018
['Kerryon Johnson'],NA,week_1,Detroit Lions,2018
['Andy Jones'],Injured Reserve: Undisclosed,week_1,Detroit Lions,2018
['Marvin Jones'],NA,week_1,Detroit Lions,2018
['Devon Kennard'],NA,week_1,Detroit Lions,2018
['T.J. Lang'],NA,week_1,Detroit Lions,2018
['Nevin Lawson'],NA,week_1,Detroit Lions,2018
['Steve Longa'],Injured Reserve: Knee,week_1,Detroit Lions,2018
['Brandon Powell'],NA,week_1,Detroit Lions,2018
['Jalen Reeves-Maybin'],NA,week_1,Detroit Lions,2018
['Theo Riddick'],NA,week_1,Detroit Lions,2018
['Michael Roberts'],NA,week_1,Detroit Lions,2018
"[""A'Shawn Robinson""]",NA,week_1,Detroit Lions,2018
['DeShawn Shead'],NA,week_1,Detroit Lions,2018
['Darius Slay'],NA,week_1,Detroit Lions,2018
['Matthew Stafford'],NA,week_1,Detroit Lions,2018
['Golden Tate'],NA,week_1,Detroit Lions,2018
['Ricky Wagner'],NA,week_1,Detroit Lions,2018
['Tracy Walker'],NA,week_1,Detroit Lions,2018
['Charles Washington'],NA,week_1,Detroit Lions,2018
['Cornelius Washington'],Injured Reserve: Undisclosed,week_1,Detroit Lions,2018
['Luke Willson'],NA,week_1,Detroit Lions,2018
['Tavon Wilson'],NA,week_1,Detroit Lions,2018
['Zach Zenner'],Injured Reserve: Back,week_1,Detroit Lions,2018
