name,injury,week,team,year
[''],NA,week_1,Carolina Panthers,2018
['Mario Addison'],NA,week_1,Carolina Panthers,2018
['Kenjon Barner'],NA,week_1,Carolina Panthers,2018
['Damiere Byrd'],NA,week_1,Carolina Panthers,2018
['Ross Cockrell'],Injured Reserve: Shin,week_1,Carolina Panthers,2018
['Bryan Cox'],NA,week_1,Carolina Panthers,2018
['Devin Funchess'],NA,week_1,Carolina Panthers,2018
['Graham Gano'],NA,week_1,Carolina Panthers,2018
['Rashaan Gaulden'],NA,week_1,Carolina Panthers,2018
['Marquis Haynes'],NA,week_1,Carolina Panthers,2018
['Taylor Heinicke'],NA,week_1,Carolina Panthers,2018
['Elijah Hood'],Injured Reserve: Knee,week_1,Carolina Panthers,2018
['Donte Jackson'],NA,week_1,Carolina Panthers,2018
['Colin Jones'],NA,week_1,Carolina Panthers,2018
['Matt Kalil'],Injured Reserve: Knee,week_1,Carolina Panthers,2018
['Ryan Kalil'],NA,week_1,Carolina Panthers,2018
['Brendan Mahon'],NA,week_1,Carolina Panthers,2018
['Chris Manhertz'],Questionable: Foot,week_1,Carolina Panthers,2018
['David Mayo'],NA,week_1,Carolina Panthers,2018
['Marshall Newhouse'],NA,week_1,Carolina Panthers,2018
['Cam Newton'],NA,week_1,Carolina Panthers,2018
['Jared Norris'],NA,week_1,Carolina Panthers,2018
['Greg Olsen'],Questionable: Back,week_1,Carolina Panthers,2018
['Damian Parms'],Injured Reserve: Shoulder,week_1,Carolina Panthers,2018
['Eric Reid'],NA,week_1,Carolina Panthers,2018
['Fred Ross'],Injured Reserve: Hip,week_1,Carolina Panthers,2018
['Curtis Samuel'],Out: MedicalIllness,week_1,Carolina Panthers,2018
"[""Da'Norris Searcy""]",NA,week_1,Carolina Panthers,2018
['Kevon Seymour'],Injured Reserve: Shoulder,week_1,Carolina Panthers,2018
['Kawann Short'],NA,week_1,Carolina Panthers,2018
['Amini Silatolu'],Questionable: Knee,week_1,Carolina Panthers,2018
['Jeremiah Sirles'],Injured Reserve: Hamstring,week_1,Carolina Panthers,2018
['Andre Smith'],NA,week_1,Carolina Panthers,2018
['Torrey Smith'],NA,week_1,Carolina Panthers,2018
['Shaq Thompson'],NA,week_1,Carolina Panthers,2018
['Trai Turner'],NA,week_1,Carolina Panthers,2018
['Fozzy Whittaker'],Injured Reserve: Knee,week_1,Carolina Panthers,2018
['Daryl Williams'],Questionable: Knee,week_1,Carolina Panthers,2018
[''],NA,week_2,Carolina Panthers,2018
['Mario Addison'],NA,week_2,Carolina Panthers,2018
