"","name","injury","week","team","year"
"1","['Trai Turner']","Out: Concussion","week_2","Carolina Panthers",2018
"2","[""Da'Norris Searcy""]","Injured Reserve: Concussion","week_3","Carolina Panthers",2018
"3","['Trai Turner']","Out: Concussion","week_3","Carolina Panthers",2018
"4","[""Da'Norris Searcy""]","Injured Reserve: Concussion","week_5","Carolina Panthers",2018
"5","[""Da'Norris Searcy""]","Injured Reserve: Concussion","week_6","Carolina Panthers",2018
"6","[""Da'Norris Searcy""]","Injured Reserve: Concussion","week_7","Carolina Panthers",2018
"7","[""Da'Norris Searcy""]","Injured Reserve: Concussion","week_8","Carolina Panthers",2018
"8","[""Da'Norris Searcy""]","Injured Reserve: Concussion","week_9","Carolina Panthers",2018
"9","[""Da'Norris Searcy""]","Injured Reserve: Concussion","week_10","Carolina Panthers",2018
"10","[""Da'Norris Searcy""]","Injured Reserve: Concussion","week_11","Carolina Panthers",2018
"11","[""Da'Norris Searcy""]","Injured Reserve: Concussion","week_12","Carolina Panthers",2018
"12","[""Da'Norris Searcy""]","Injured Reserve: Concussion","week_13","Carolina Panthers",2018
"13","['Brendan Mahon']","Injured Reserve: Concussion","week_14","Carolina Panthers",2018
"14","[""Da'Norris Searcy""]","Injured Reserve: Concussion","week_14","Carolina Panthers",2018
"15","['Brendan Mahon']","Injured Reserve: Concussion","week_15","Carolina Panthers",2018
"16","[""Da'Norris Searcy""]","Injured Reserve: Concussion","week_15","Carolina Panthers",2018
"17","['Amini Silatolu']","Injured Reserve: Concussion","week_15","Carolina Panthers",2018
"18","['Brendan Mahon']","Injured Reserve: Concussion","week_16","Carolina Panthers",2018
"19","[""Da'Norris Searcy""]","Injured Reserve: Concussion","week_16","Carolina Panthers",2018
"20","['Amini Silatolu']","Injured Reserve: Concussion","week_16","Carolina Panthers",2018
"21","['Brendan Mahon']","Injured Reserve: Concussion","week_17","Carolina Panthers",2018
"22","[""Da'Norris Searcy""]","Injured Reserve: Concussion","week_17","Carolina Panthers",2018
"23","['Amini Silatolu']","Injured Reserve: Concussion","week_17","Carolina Panthers",2018
