name,injury,week,team,year
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
[''],NA,week_1,Seattle Seahawks,2018
['Maurice Alexander'],NA,week_1,Seattle Seahawks,2018
"[""Ricky Ali'ifua""]",NA,week_1,Seattle Seahawks,2018
['Doug Baldwin'],NA,week_1,Seattle Seahawks,2018
['Emmanuel Beal'],NA,week_1,Seattle Seahawks,2018
['Justin Britt'],NA,week_1,Seattle Seahawks,2018
['Chris Carson'],NA,week_1,Seattle Seahawks,2018
['Kam Chancellor'],Injured Reserve: Neck,week_1,Seattle Seahawks,2018
['Frank Clark'],NA,week_1,Seattle Seahawks,2018
['Amara Darboh'],NA,week_1,Seattle Seahawks,2018
['Austin Davis'],Injured Reserve: Undisclosed,week_1,Seattle Seahawks,2018
['Ed Dickson'],Injured Reserve: Groin,week_1,Seattle Seahawks,2018
['Will Dissly'],NA,week_1,Seattle Seahawks,2018
['Tre Flowers'],NA,week_1,Seattle Seahawks,2018
['D.J. Fluker'],Out: Hamstring,week_1,Seattle Seahawks,2018
