"","name","injury","week","team","year"
"1","['Kevin Johnson']","Injured Reserve: Concussion","week_2","Houston Texans",2018
"2","['Kevin Johnson']","Injured Reserve: Concussion","week_3","Houston Texans",2018
"3","['Kevin Johnson']","Injured Reserve: Concussion","week_4","Houston Texans",2018
"4","['Kevin Johnson']","Injured Reserve: Concussion","week_5","Houston Texans",2018
"5","['Kevin Johnson']","Injured Reserve: Concussion","week_6","Houston Texans",2018
"6","['Kevin Johnson']","Injured Reserve: Concussion","week_7","Houston Texans",2018
"7","['Kevin Johnson']","Injured Reserve: Concussion","week_8","Houston Texans",2018
"8","['Kevin Johnson']","Injured Reserve: Concussion","week_9","Houston Texans",2018
"9","['Kevin Johnson']","Injured Reserve: Concussion","week_11","Houston Texans",2018
"10","['Kevin Johnson']","Injured Reserve: Concussion","week_12","Houston Texans",2018
"11","['Kevin Johnson']","Injured Reserve: Concussion","week_13","Houston Texans",2018
"12","['Kevin Johnson']","Injured Reserve: Concussion","week_14","Houston Texans",2018
"13","['Kevin Johnson']","Injured Reserve: Concussion","week_15","Houston Texans",2018
"14","['Kevin Johnson']","Injured Reserve: Concussion","week_16","Houston Texans",2018
"15","['Michael Tyson']","Out: Concussion","week_16","Houston Texans",2018
"16","['Kevin Johnson']","Injured Reserve: Concussion","week_17","Houston Texans",2018
"17","['Kevin Johnson']","Injured Reserve: Concussion","week_18","Houston Texans",2018
