name,injury,week,team,year
[''],Injured Reserve: Leg,week_1,Minnesota Vikings,2018
['Mackensie Alexander'],Doubtful: Ankle,week_1,Minnesota Vikings,2018
['Ade Aruna'],Injured Reserve: Knee,week_1,Minnesota Vikings,2018
['Anthony Barr'],NA,week_1,Minnesota Vikings,2018
['Chad Beebe'],NA,week_1,Minnesota Vikings,2018
['Mike Boone'],NA,week_1,Minnesota Vikings,2018
['Tashawn Bower'],NA,week_1,Minnesota Vikings,2018
['Mack Brown'],NA,week_1,Minnesota Vikings,2018
['Aviante Collins'],Injured Reserve: Elbow,week_1,Minnesota Vikings,2018
['Tom Compton'],NA,week_1,Minnesota Vikings,2018
['Dalvin Cook'],NA,week_1,Minnesota Vikings,2018
['Stefon Diggs'],NA,week_1,Minnesota Vikings,2018
['Nick Easton'],Injured Reserve: Neck,week_1,Minnesota Vikings,2018
['Pat Elflein'],Out: Ankle,week_1,Minnesota Vikings,2018
['Ben Gedeon'],NA,week_1,Minnesota Vikings,2018
['Everson Griffen'],NA,week_1,Minnesota Vikings,2018
['C.J. Ham'],NA,week_1,Minnesota Vikings,2018
['Anthony Harris'],NA,week_1,Minnesota Vikings,2018
['Mike Hughes'],NA,week_1,Minnesota Vikings,2018
['Craig James'],NA,week_1,Minnesota Vikings,2018
['Tom Johnson'],NA,week_1,Minnesota Vikings,2018
['Linval Joseph'],NA,week_1,Minnesota Vikings,2018
['Eric Kendricks'],NA,week_1,Minnesota Vikings,2018
"[""Hercules Mata'afa""]",Injured Reserve: Knee,week_1,Minnesota Vikings,2018
['David Morgan'],NA,week_1,Minnesota Vikings,2018
['Jabari Price'],Injured Reserve: Knee,week_1,Minnesota Vikings,2018
['Riley Reiff'],NA,week_1,Minnesota Vikings,2018
['Mike Remmers'],NA,week_1,Minnesota Vikings,2018
['Xavier Rhodes'],Questionable: Hamstring,week_1,Minnesota Vikings,2018
['Horace Richardson'],NA,week_1,Minnesota Vikings,2018
['Sheldon Richardson'],NA,week_1,Minnesota Vikings,2018
['Andrew Sendejo'],NA,week_1,Minnesota Vikings,2018
['Marcus Sherels'],NA,week_1,Minnesota Vikings,2018
['Johnny Stanton'],Injured Reserve: Leg,week_1,Minnesota Vikings,2018
['Roc Thomas'],Out: Ankle,week_1,Minnesota Vikings,2018
['Trae Waynes'],NA,week_1,Minnesota Vikings,2018
['Brandon Zylstra'],NA,week_1,Minnesota Vikings,2018
[''],Injured Reserve: Leg,week_2,Minnesota Vikings,2018
['Mackensie Alexander'],NA,week_2,Minnesota Vikings,2018
['Ade Aruna'],Injured Reserve: Knee,week_2,Minnesota Vikings,2018
['Anthony Barr'],NA,week_2,Minnesota Vikings,2018
['Chad Beebe'],NA,week_2,Minnesota Vikings,2018
['Mike Boone'],NA,week_2,Minnesota Vikings,2018
['Tashawn Bower'],NA,week_2,Minnesota Vikings,2018
['Mack Brown'],Injured Reserve: Undisclosed,week_2,Minnesota Vikings,2018
['Aviante Collins'],Injured Reserve: Elbow,week_2,Minnesota Vikings,2018
['Tom Compton'],NA,week_2,Minnesota Vikings,2018
['Dalvin Cook'],NA,week_2,Minnesota Vikings,2018
['Stefon Diggs'],NA,week_2,Minnesota Vikings,2018
['Nick Easton'],Injured Reserve: Neck,week_2,Minnesota Vikings,2018
['Pat Elflein'],Out: Ankle,week_2,Minnesota Vikings,2018
['Ben Gedeon'],NA,week_2,Minnesota Vikings,2018
['Everson Griffen'],NA,week_2,Minnesota Vikings,2018
['C.J. Ham'],NA,week_2,Minnesota Vikings,2018
['Anthony Harris'],NA,week_2,Minnesota Vikings,2018
['Mike Hughes'],NA,week_2,Minnesota Vikings,2018
['Craig James'],Injured Reserve: Hamstring,week_2,Minnesota Vikings,2018
['Tom Johnson'],NA,week_2,Minnesota Vikings,2018
['Linval Joseph'],NA,week_2,Minnesota Vikings,2018
['Eric Kendricks'],NA,week_2,Minnesota Vikings,2018
"[""Hercules Mata'afa""]",Injured Reserve: Knee,week_2,Minnesota Vikings,2018
['David Morgan'],NA,week_2,Minnesota Vikings,2018
['Jabari Price'],Injured Reserve: Knee,week_2,Minnesota Vikings,2018
['Riley Reiff'],NA,week_2,Minnesota Vikings,2018
['Mike Remmers'],NA,week_2,Minnesota Vikings,2018
['Xavier Rhodes'],NA,week_2,Minnesota Vikings,2018
['Horace Richardson'],Injured Reserve: Hamstring,week_2,Minnesota Vikings,2018
['Sheldon Richardson'],NA,week_2,Minnesota Vikings,2018
['Andrew Sendejo'],NA,week_2,Minnesota Vikings,2018
['Marcus Sherels'],NA,week_2,Minnesota Vikings,2018
['Johnny Stanton'],Injured Reserve: Leg,week_2,Minnesota Vikings,2018
['Roc Thomas'],NA,week_2,Minnesota Vikings,2018
['Trae Waynes'],NA,week_2,Minnesota Vikings,2018
['Brandon Zylstra'],NA,week_2,Minnesota Vikings,2018
[''],Injured Reserve: Leg,week_3,Minnesota Vikings,2018
['Mackensie Alexander'],NA,week_3,Minnesota Vikings,2018
['Ade Aruna'],Injured Reserve: Knee,week_3,Minnesota Vikings,2018
['Anthony Barr'],NA,week_3,Minnesota Vikings,2018
['Chad Beebe'],NA,week_3,Minnesota Vikings,2018
['Mike Boone'],Questionable: Groin,week_3,Minnesota Vikings,2018
['Tashawn Bower'],NA,week_3,Minnesota Vikings,2018
['Mack Brown'],Injured Reserve: Undisclosed,week_3,Minnesota Vikings,2018
['Aviante Collins'],Injured Reserve: Elbow,week_3,Minnesota Vikings,2018
['Tom Compton'],NA,week_3,Minnesota Vikings,2018
['Dalvin Cook'],Out: Hamstring,week_3,Minnesota Vikings,2018
['Stefon Diggs'],NA,week_3,Minnesota Vikings,2018
['Nick Easton'],Injured Reserve: Neck,week_3,Minnesota Vikings,2018
['Pat Elflein'],NA,week_3,Minnesota Vikings,2018
['Ben Gedeon'],NA,week_3,Minnesota Vikings,2018
['Everson Griffen'],Out: Knee,week_3,Minnesota Vikings,2018
['C.J. Ham'],NA,week_3,Minnesota Vikings,2018
['Anthony Harris'],NA,week_3,Minnesota Vikings,2018
['Mike Hughes'],NA,week_3,Minnesota Vikings,2018
['Craig James'],Injured Reserve: Hamstring,week_3,Minnesota Vikings,2018
['Tom Johnson'],NA,week_3,Minnesota Vikings,2018
['Linval Joseph'],NA,week_3,Minnesota Vikings,2018
['Eric Kendricks'],NA,week_3,Minnesota Vikings,2018
"[""Hercules Mata'afa""]",Injured Reserve: Knee,week_3,Minnesota Vikings,2018
['David Morgan'],Out: Knee,week_3,Minnesota Vikings,2018
['Jabari Price'],Injured Reserve: Knee,week_3,Minnesota Vikings,2018
['Riley Reiff'],NA,week_3,Minnesota Vikings,2018
['Mike Remmers'],NA,week_3,Minnesota Vikings,2018
['Xavier Rhodes'],NA,week_3,Minnesota Vikings,2018
['Horace Richardson'],Injured Reserve: Hamstring,week_3,Minnesota Vikings,2018
['Sheldon Richardson'],NA,week_3,Minnesota Vikings,2018
['Andrew Sendejo'],NA,week_3,Minnesota Vikings,2018
['Marcus Sherels'],Out: Ribs,week_3,Minnesota Vikings,2018
['Johnny Stanton'],Injured Reserve: Leg,week_3,Minnesota Vikings,2018
['Roc Thomas'],NA,week_3,Minnesota Vikings,2018
['Trae Waynes'],NA,week_3,Minnesota Vikings,2018
['Brandon Zylstra'],NA,week_3,Minnesota Vikings,2018
[''],Injured Reserve: Leg,week_4,Minnesota Vikings,2018
['Mackensie Alexander'],NA,week_4,Minnesota Vikings,2018
['Ade Aruna'],Injured Reserve: Knee,week_4,Minnesota Vikings,2018
['Anthony Barr'],NA,week_4,Minnesota Vikings,2018
['Chad Beebe'],NA,week_4,Minnesota Vikings,2018
['Mike Boone'],NA,week_4,Minnesota Vikings,2018
['Tashawn Bower'],NA,week_4,Minnesota Vikings,2018
['Mack Brown'],Injured Reserve: Undisclosed,week_4,Minnesota Vikings,2018
['Aviante Collins'],Injured Reserve: Elbow,week_4,Minnesota Vikings,2018
['Tom Compton'],NA,week_4,Minnesota Vikings,2018
['Dalvin Cook'],Questionable: Hamstring,week_4,Minnesota Vikings,2018
['Stefon Diggs'],NA,week_4,Minnesota Vikings,2018
['Nick Easton'],Injured Reserve: Neck,week_4,Minnesota Vikings,2018
['Pat Elflein'],NA,week_4,Minnesota Vikings,2018
['Ben Gedeon'],NA,week_4,Minnesota Vikings,2018
['Everson Griffen'],Out: Knee,week_4,Minnesota Vikings,2018
['C.J. Ham'],NA,week_4,Minnesota Vikings,2018
['Anthony Harris'],Questionable: Hamstring,week_4,Minnesota Vikings,2018
['Mike Hughes'],NA,week_4,Minnesota Vikings,2018
['Craig James'],Injured Reserve: Hamstring,week_4,Minnesota Vikings,2018
['Tom Johnson'],Questionable: Ankle,week_4,Minnesota Vikings,2018
['Linval Joseph'],NA,week_4,Minnesota Vikings,2018
['Eric Kendricks'],NA,week_4,Minnesota Vikings,2018
"[""Hercules Mata'afa""]",Injured Reserve: Knee,week_4,Minnesota Vikings,2018
['David Morgan'],NA,week_4,Minnesota Vikings,2018
['Jabari Price'],Injured Reserve: Knee,week_4,Minnesota Vikings,2018
['Riley Reiff'],Questionable: Foot,week_4,Minnesota Vikings,2018
['Mike Remmers'],NA,week_4,Minnesota Vikings,2018
['Xavier Rhodes'],NA,week_4,Minnesota Vikings,2018
['Horace Richardson'],Injured Reserve: Hamstring,week_4,Minnesota Vikings,2018
['Sheldon Richardson'],NA,week_4,Minnesota Vikings,2018
['Andrew Sendejo'],NA,week_4,Minnesota Vikings,2018
['Marcus Sherels'],Out: Ribs,week_4,Minnesota Vikings,2018
['Johnny Stanton'],Injured Reserve: Leg,week_4,Minnesota Vikings,2018
['Roc Thomas'],NA,week_4,Minnesota Vikings,2018
['Trae Waynes'],NA,week_4,Minnesota Vikings,2018
['Brandon Zylstra'],NA,week_4,Minnesota Vikings,2018
[''],Injured Reserve: Leg,week_5,Minnesota Vikings,2018
['Mackensie Alexander'],NA,week_5,Minnesota Vikings,2018
['Ade Aruna'],Injured Reserve: Knee,week_5,Minnesota Vikings,2018
['Anthony Barr'],NA,week_5,Minnesota Vikings,2018
['Chad Beebe'],NA,week_5,Minnesota Vikings,2018
['Mike Boone'],NA,week_5,Minnesota Vikings,2018
['Tashawn Bower'],Out: Ankle,week_5,Minnesota Vikings,2018
['Mack Brown'],Injured Reserve: Undisclosed,week_5,Minnesota Vikings,2018
['Aviante Collins'],Injured Reserve: Elbow,week_5,Minnesota Vikings,2018
['Tom Compton'],NA,week_5,Minnesota Vikings,2018
['Dalvin Cook'],Questionable: Hamstring,week_5,Minnesota Vikings,2018
['Stefon Diggs'],NA,week_5,Minnesota Vikings,2018
['Nick Easton'],Injured Reserve: Neck,week_5,Minnesota Vikings,2018
['Pat Elflein'],NA,week_5,Minnesota Vikings,2018
['Ben Gedeon'],NA,week_5,Minnesota Vikings,2018
['Everson Griffen'],Out: Knee,week_5,Minnesota Vikings,2018
['C.J. Ham'],NA,week_5,Minnesota Vikings,2018
['Anthony Harris'],NA,week_5,Minnesota Vikings,2018
['Mike Hughes'],NA,week_5,Minnesota Vikings,2018
['Craig James'],Injured Reserve: Hamstring,week_5,Minnesota Vikings,2018
['Tom Johnson'],NA,week_5,Minnesota Vikings,2018
['Linval Joseph'],NA,week_5,Minnesota Vikings,2018
['Eric Kendricks'],NA,week_5,Minnesota Vikings,2018
"[""Hercules Mata'afa""]",Injured Reserve: Knee,week_5,Minnesota Vikings,2018
['David Morgan'],NA,week_5,Minnesota Vikings,2018
['Jabari Price'],Injured Reserve: Knee,week_5,Minnesota Vikings,2018
['Riley Reiff'],NA,week_5,Minnesota Vikings,2018
['Mike Remmers'],NA,week_5,Minnesota Vikings,2018
['Xavier Rhodes'],NA,week_5,Minnesota Vikings,2018
['Horace Richardson'],Injured Reserve: Hamstring,week_5,Minnesota Vikings,2018
['Sheldon Richardson'],NA,week_5,Minnesota Vikings,2018
['Andrew Sendejo'],NA,week_5,Minnesota Vikings,2018
['Marcus Sherels'],Out: Ribs,week_5,Minnesota Vikings,2018
['Johnny Stanton'],Injured Reserve: Leg,week_5,Minnesota Vikings,2018
['Roc Thomas'],NA,week_5,Minnesota Vikings,2018
['Trae Waynes'],Out: Concussion,week_5,Minnesota Vikings,2018
['Brandon Zylstra'],NA,week_5,Minnesota Vikings,2018
[''],Injured Reserve: Leg,week_6,Minnesota Vikings,2018
['Mackensie Alexander'],NA,week_6,Minnesota Vikings,2018
['Ade Aruna'],Injured Reserve: Knee,week_6,Minnesota Vikings,2018
['Anthony Barr'],NA,week_6,Minnesota Vikings,2018
['Chad Beebe'],NA,week_6,Minnesota Vikings,2018
['Mike Boone'],NA,week_6,Minnesota Vikings,2018
['Tashawn Bower'],Out: Ankle,week_6,Minnesota Vikings,2018
['Mack Brown'],Injured Reserve: Undisclosed,week_6,Minnesota Vikings,2018
['Aviante Collins'],Injured Reserve: Elbow,week_6,Minnesota Vikings,2018
['Tom Compton'],NA,week_6,Minnesota Vikings,2018
['Dalvin Cook'],Questionable: Hamstring,week_6,Minnesota Vikings,2018
['Stefon Diggs'],NA,week_6,Minnesota Vikings,2018
['Nick Easton'],Injured Reserve: Neck,week_6,Minnesota Vikings,2018
['Pat Elflein'],NA,week_6,Minnesota Vikings,2018
['Ben Gedeon'],NA,week_6,Minnesota Vikings,2018
['Everson Griffen'],Out: NotInjuryRelated,week_6,Minnesota Vikings,2018
['C.J. Ham'],NA,week_6,Minnesota Vikings,2018
['Anthony Harris'],NA,week_6,Minnesota Vikings,2018
['Mike Hughes'],NA,week_6,Minnesota Vikings,2018
['Craig James'],Injured Reserve: Hamstring,week_6,Minnesota Vikings,2018
['Tom Johnson'],NA,week_6,Minnesota Vikings,2018
