,gameweek 1 ,gameweek 2,gameweek 3,gameweek 4,gameweek 5,gameweek 6,gameweek 7,gameweek 8,gameweek 9,gameweek 10,gameweek 11,gameweek 12,gameweek 13,gameweek 14,gameweek 15,gameweek 16,gameweek 17,gameweek 18,gameweek 19,gameweek 20,gameweek 21,total No. Concussions,
New England Patriots,,1,2,2,,,1,1,1,,,,,,,,,,,,,8,New England Patriots
Miami Dolphins,,,,,,1,1,,,,,,,,,,,,,,,2,Miami Dolphins
Buffalo Bills,,,,,,,,1,1,1,,1,1,1,1,1,1,,,,,9,Buffalo Bills
New York Jets,1,1,2,1,2,2,2,1,2,2,,2,2,2,3,3,3,,,,,31,New York Jets
Houston Texans,,1,1,1,1,1,1,1,1,,1,1,1,1,1,2,1,1,,,,17,Houston Texans
Indianapolis Colts,,3,4,3,4,3,3,2,,2,2,2,3,2,2,2,3,2,2,,,44,Indianapolis Colts
Tennessee Titans,,1,,1,,,,,,1,,,,,,,,,,,,3,Tennessee Titans
Jacksonville jaguars,,,,,,,,,,,,,,,,,1,,,,,1,Jacksonville jaguars
Baltimore Ravens,,,,,,,,,,,,,,,,1,,,,,,1,Baltimore Ravens
Pittsburgh Steelers,,,,,,,,,,,,,,,,,,,,,,0,Pittsburgh Steelers
Cleveland Browns,1,,,,,1,1,1,,1,,1,1,2,2,1,2,,,,,14,Cleveland Browns
Cincinnati Bengals,,,,,,,1,,,,1,,1,2,3,1,1,,,,,10,Cincinnati Bengals
Kansas City Chiefs,,,,,,,1,1,1,1,1,,,,,,,,,,,5,Kansas City Chiefs
Los Angeles Chargers,,,,,,,,,,,,,,,,,,,2,,,2,Los Angeles Chargers
Denver Broncos,,,1,,,,,1,,,,1,,,1,1,,,,,,5,Denver Broncos
Oakland Raiders,,,,,,,,,,,,,,1,,1,1,,,,,3,Oakland Raiders
Dallas Cowboys,,1,,,,,,,,,1,2,,,,,,,,,,4,Dallas Cowboys
Philadelphia Eagles,,,,,,,,,,,,,,,,,,,,,,0,Philadelphia Eagles
Washington Redskins,1,1,1,,,,,,,,,,,,1,2,2,,,,,8,Washington Redskins
New York Giants,,,,,,,2,1,,1,1,1,,,1,1,2,,,,,10,New York Giants
New Oleans Saints,,,,,,,1,,,,,,,,,,,,,,,1,New Oleans Saints
Atlanta Falcons,,,,,,,,,,,,,,,,,,,,,,0,Atlanta Falcons
Carolina Panthers,,1,2,,1,1,1,1,1,1,1,1,1,2,3,3,3,,,,,23,Carolina Panthers
Tampa Bay Buccaneers,1,1,1,1,,1,1,1,1,1,1,2,1,2,2,1,1,,,,,19,Tampa Bay Buccaneers
Chicago Bears,1,1,1,1,,1,1,1,2,2,2,4,2,2,2,2,2,2,,,,29,Chicago Bears
Minnesota Vikings,,,,,1,,,,,,,1,,1,,,,,,,,3,Minnesota Vikings
Green Bay Packers,,,,1,1,,,,,,1,1,,,,2,1,,,,,7,Green Bay Packers
Detroit Lions,,,1,,1,,1,,,,,,,,1,,1,,,,,5,Detroit Lions
Los Angeles Rams,,,,,,,,,,,,,,,,,,,,,,0,Los Angeles Rams
Seattle Seahawks,,1,1,1,1,1,,1,1,1,1,1,1,1,2,1,1,1,,,,17,Seattle Seahawks
San Francisco 49ers,,1,1,1,1,1,1,1,2,1,,1,1,1,2,1,2,,,,,18,San Francisco 49ers
Arizona Cardinals,,,,,,,,,,,,,,,,,,,,,,0,Arizona Cardinals
