"","name","injury","week","team","year"
"1","['Shea McClellin']","Injured Reserve: Concussion","week_1","New England Patriots",2017
"2","['Danny Amendola']","Out: Concussion","week_2","New England Patriots",2017
"3","['Shea McClellin']","Injured Reserve: Concussion","week_2","New England Patriots",2017
"4","['Danny Amendola']","Questionable: Concussion","week_3","New England Patriots",2017
"5","['Shea McClellin']","Injured Reserve: Concussion","week_3","New England Patriots",2017
"6","['Shea McClellin']","Injured Reserve: Concussion","week_4","New England Patriots",2017
"7","['Shea McClellin']","Injured Reserve: Concussion","week_5","New England Patriots",2017
"8","['Shea McClellin']","Injured Reserve: Concussion","week_6","New England Patriots",2017
"9","['Stephon Gilmore']","Out: Concussion","week_7","New England Patriots",2017
"10","['Shea McClellin']","Injured Reserve: Concussion","week_7","New England Patriots",2017
"11","['Stephon Gilmore']","Questionable: Concussion","week_8","New England Patriots",2017
"12","['Shea McClellin']","Injured Reserve: Concussion","week_8","New England Patriots",2017
"13","['Stephon Gilmore']","Questionable: Concussion","week_10","New England Patriots",2017
"14","['Shea McClellin']","Injured Reserve: Concussion","week_10","New England Patriots",2017
"15","['Shea McClellin']","Injured Reserve: Concussion","week_11","New England Patriots",2017
"16","['Shea McClellin']","Injured Reserve: Concussion","week_12","New England Patriots",2017
"17","['Shea McClellin']","Injured Reserve: Concussion","week_13","New England Patriots",2017
"18","['Trevor Reilly']","Questionable: Concussion","week_13","New England Patriots",2017
"19","['Shea McClellin']","Injured Reserve: Concussion","week_14","New England Patriots",2017
"20","['Shea McClellin']","Injured Reserve: Concussion","week_15","New England Patriots",2017
"21","['Shea McClellin']","Injured Reserve: Concussion","week_16","New England Patriots",2017
"22","['Shea McClellin']","Injured Reserve: Concussion","week_17","New England Patriots",2017
"23","['Shea McClellin']","Injured Reserve: Concussion","week_19","New England Patriots",2017
"24","['Shea McClellin']","Injured Reserve: Concussion","week_20","New England Patriots",2017
"25","['Shea McClellin']","Injured Reserve: Concussion","week_21","New England Patriots",2017
"26","['Mike Pouncey']","Questionable: Concussion","week_7","Miami Dolphins",2017
"27","['Jay Cutler']","Out: Concussion","week_12","Miami Dolphins",2017
"28","['Senorise Perry']","Questionable: Concussion","week_13","Miami Dolphins",2017
"29","['Jerel Worthy']","Out: Concussion","week_1","Buffalo Bills",2017
"30","['T.J. Yates']","Injured Reserve: Concussion","week_1","Buffalo Bills",2017
"31","['Jerel Worthy']","Out: Concussion","week_2","Buffalo Bills",2017
"32","['T.J. Yates']","Injured Reserve: Concussion","week_2","Buffalo Bills",2017
"33","['Jerel Worthy']","Out: Concussion","week_3","Buffalo Bills",2017
"34","['T.J. Yates']","Injured Reserve: Concussion","week_3","Buffalo Bills",2017
"35","['T.J. Yates']","Injured Reserve: Concussion","week_4","Buffalo Bills",2017
"36","['T.J. Yates']","Injured Reserve: Concussion","week_5","Buffalo Bills",2017
"37","['T.J. Yates']","Injured Reserve: Concussion","week_7","Buffalo Bills",2017
"38","['T.J. Yates']","Injured Reserve: Concussion","week_8","Buffalo Bills",2017
"39","['T.J. Yates']","Injured Reserve: Concussion","week_9","Buffalo Bills",2017
"40","['T.J. Yates']","Injured Reserve: Concussion","week_10","Buffalo Bills",2017
"41","['T.J. Yates']","Injured Reserve: Concussion","week_11","Buffalo Bills",2017
"42","['T.J. Yates']","Injured Reserve: Concussion","week_12","Buffalo Bills",2017
"43","['T.J. Yates']","Injured Reserve: Concussion","week_13","Buffalo Bills",2017
"44","['Nathan Peterman']","Out: Concussion","week_15","Buffalo Bills",2017
"45","['T.J. Yates']","Injured Reserve: Concussion","week_16","Buffalo Bills",2017
"46","['Shareece Wright']","Out: Concussion","week_17","Buffalo Bills",2017
"47","['Shareece Wright']","Out: Concussion","week_18","Buffalo Bills",2017
"48","['T.J. Yates']","Injured Reserve: Concussion","week_18","Buffalo Bills",2017
"49","['Jonotthan Harrison']","Out: Concussion","week_2","New York Jets",2017
"50","['Buster Skrine']","Out: Concussion","week_8","New York Jets",2017
"51","['Lawrence Thomas']","Out: Concussion","week_9","New York Jets",2017
"52","['Juston Burris']","Out: Concussion","week_13","New York Jets",2017
"53","['Brandon Shell']","Out: Concussion","week_17","New York Jets",2017
"54","['Stephen Anderson']","Out: Concussion","week_2","Houston Texans",2017
"55","['Brian Cushing']","Out: Concussion","week_2","Houston Texans",2017
"56","['Bruce Ellington']","Out: Concussion","week_2","Houston Texans",2017
"57","['C.J. Fiedorowicz']","Injured Reserve: Concussion","week_2","Houston Texans",2017
"58","['Ryan Griffin']","Out: Concussion","week_2","Houston Texans",2017
