"","Player","Position","Injury","Game Status","Team","Week"
"1","Ja'Whaun Bentley","LB","Illness","Not Listed","New England Patriots",1
"2","Marcus Cannon","OL","Calf","Questionable","New England Patriots",1
"3","Duke Dawson Jr.","DB","Hamstring","Not Listed","New England Patriots",1
"4","Nate Ebner","DB","Knee","Questionable","New England Patriots",1
"5","Jacob Hollister","TE","Hamstring","Questionable","New England Patriots",1
"6","Sony Michel","RB","Knee","Questionable","New England Patriots",1
"7","Frank Gore","RB","Achilles/Not Injury Related","Not Listed","Miami Dolphins",1
"8","Jakeem Grant","WR","Shoulder","Not Listed","Miami Dolphins",1
"9","Ted Larsen","C/G","Knee","Not Listed","Miami Dolphins",1
"10","Brock Osweiler","QB","Knee","Not Listed","Miami Dolphins",1
"11","DeVante Parker","WR","Finger","Not Listed","Miami Dolphins",1
"12","Josh Sitton","G","Shoulder","Not Listed","Miami Dolphins",1
"13","Lorenzo Alexander","LB","Rest","Not Listed","Buffalo Bills",1
"14","Ray-Ray McCloud III","WR","Knee","Out","Buffalo Bills",1
"15","Julian Stanford","LB","Nose","Questionable","Buffalo Bills",1
"16","Jeremiah Attaochu","LB","Calf","Not Listed","New York Jets",1
"17","Kelvin Beachum","T","Foot","Not Listed","New York Jets",1
"18","Quincy Enunwa","WR","Thumb","Not Listed","New York Jets",1
"19","Neville Hewitt","LB","Knee","Not Listed","New York Jets",1
"20","Jermaine Kearse","WR","Abdomen","Doubtful","New York Jets",1
"21","Spencer Long","C","Knee","Not Listed","New York Jets",1
"22","Josh Martin","LB","Concussion","Out","New York Jets",1
"23","Marcus Maye","S","Foot","Doubtful","New York Jets",1
"24","Steve McLendon","DL","Knee","Not Listed","New York Jets",1
"25","Buster Skrine","CB","Hand","Not Listed","New York Jets",1
"26","Avery Williamson","LB","Hamstring","Not Listed","New York Jets",1
"27","Brian Winters","G","Back","Not Listed","New York Jets",1
"28","Dylan Cole","ILB","Wrist","Not Listed","Houston Texans",1
"29","Keke Coutee","WR","Hamstring","Questionable","Houston Texans",1
"30","Brandon Dunn","NT","Ankle","Not Listed","Houston Texans",1
"31","Zach Fulton","C/G","Hand","Not Listed","Houston Texans",1
"32","Andre Hal","S","Ankle","Not Listed","Houston Texans",1
"33","DeAndre Hopkins","WR","Ankle","Not Listed","Houston Texans",1
"34","Buddy Howell","RB","Hamstring","Questionable","Houston Texans",1
"35","Johnathan Joseph","CB","Neck","Not Listed","Houston Texans",1
"36","Senio Kelemete","G","Knee/Rib","Not Listed","Houston Texans",1
"37","Benardrick McKinney","ILB","Heel","Not Listed","Houston Texans",1
"38","Justin Reid","S","Wrist","Not Listed","Houston Texans",1
"39","J.J. Watt","DE","Elbow/Knee","Not Listed","Houston Texans",1
"40","Anthony Castonzo","T","Kne","Not Listed","Indianapolis Colts",1
"41","Eric Ebron","TE","Not Injury Related (Rest)","Not Listed","Indianapolis Colts",1
"42","Daurice Fountain","WR","Ankle","Not Listed","Indianapolis Colts",1
